suj,rt,acc,congr,soa,tloc,cloc
1,513.08,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,0,150,2,1
1,567.1,1,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,1
1,622.71,1,1,150,1,1
1,864.01,1,0,150,2,1
1,508.91,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,250.2,0,NaN,NaN,NaN,2
1,404.84,1,NaN,NaN,1,NaN
1,533.51,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,NaN
1,456.97,1,0,-600,2,1
1,467.42,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,NaN,NaN,2,NaN
1,510.43,1,0,-150,2,1
1,NaN,0,1,450,2,2
1,423.4,1,0,-600,2,1
1,462.6,1,1,-150,1,1
1,605.86,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,968.13,1,0,150,1,2
1,NaN,0,1,450,1,1
1,776.97,1,1,150,2,2
1,1191.6,1,1,150,1,1
1,NaN,0,1,-600,2,2
1,NaN,0,0,-150,2,1
1,711.89,0,NaN,NaN,NaN,1
1,NaN,0,0,450,2,1
1,NaN,0,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,436.54,1,NaN,NaN,2,NaN
1,371.13,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,1
1,370.93,1,1,-150,2,2
1,444.27,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,1060,1,NaN,NaN,2,NaN
1,563,1,0,450,2,1
1,552.81,1,0,450,1,2
1,849.77,1,1,450,2,2
1,423.18,1,0,-150,1,2
1,479.8,1,0,150,2,1
1,542.11,1,0,450,1,2
1,526.51,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,2
1,455.41,1,NaN,NaN,1,NaN
1,503.66,1,0,-600,1,2
1,545.48,1,1,150,2,2
1,NaN,0,0,150,2,1
1,1574.6,1,NaN,NaN,2,NaN
1,455.93,1,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,484.18,1,0,-600,1,2
1,NaN,1,NaN,NaN,NaN,2
1,423.57,1,1,-600,1,1
1,NaN,0,NaN,NaN,1,NaN
1,1104.2,1,1,450,2,2
1,465.6,1,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,1
1,448.57,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,400.85,1,0,-150,2,1
1,453.02,1,0,450,1,2
1,NaN,1,NaN,NaN,NaN,1
1,440.37,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,349.98,1,NaN,NaN,1,NaN
1,450.06,1,0,450,1,2
1,411.65,1,1,-600,2,2
1,NaN,0,NaN,NaN,2,NaN
1,233.52,0,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,2,NaN
1,385.72,1,1,-150,1,1
1,394.03,1,0,-600,1,2
1,901.82,1,0,150,1,2
1,450.12,1,1,450,2,2
1,NaN,0,0,450,2,1
1,586.72,1,1,150,2,2
1,NaN,0,0,-600,2,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,2
1,402.59,1,0,-600,1,2
1,NaN,1,NaN,NaN,NaN,2
1,483.35,1,0,-150,2,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,NaN
1,535.22,1,0,-150,1,2
1,NaN,0,0,450,2,1
1,NaN,0,1,450,1,1
1,446.76,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,517.91,1,0,150,2,1
1,NaN,1,NaN,NaN,NaN,NaN
1,520.37,1,1,-600,1,1
1,945.78,1,1,450,1,1
1,451.95,1,1,-150,1,1
1,795.31,1,NaN,NaN,1,NaN
1,NaN,0,0,-600,2,1
1,NaN,0,0,150,1,2
1,NaN,0,1,-600,1,1
1,NaN,0,0,150,2,1
1,438.28,1,1,150,1,1
1,413.22,1,1,-150,2,2
1,NaN,0,NaN,NaN,2,NaN
1,501.83,1,1,150,2,2
1,471.28,1,1,-600,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,709.56,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,462.01,1,1,150,1,1
1,NaN,1,NaN,NaN,NaN,2
1,380.93,1,0,-600,1,2
1,NaN,0,0,150,2,1
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,1,450,2,2
1,562.69,1,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,NaN
1,491.32,1,1,150,1,1
1,NaN,0,0,-600,2,1
1,NaN,0,0,-600,2,1
1,1226.3,1,0,-150,2,1
1,NaN,0,0,-150,2,1
1,NaN,0,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,0,NaN,NaN,1,NaN
1,NaN,0,1,-600,2,2
1,481.75,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,2,NaN
1,327.1,1,0,-600,1,2
1,NaN,0,1,150,2,2
1,NaN,0,NaN,NaN,1,NaN
1,NaN,0,NaN,NaN,1,NaN
1,NaN,0,1,-600,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,0,450,2,1
1,NaN,0,0,450,1,2
1,NaN,0,1,-600,1,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,433.07,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,2
1,489.84,1,0,150,2,1
1,NaN,0,0,150,1,2
1,361.85,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,2,NaN
1,NaN,1,NaN,NaN,NaN,2
1,364.82,1,1,-150,1,1
1,NaN,0,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,NaN
1,457.12,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,1
1,566.38,1,1,-600,1,1
1,NaN,0,NaN,NaN,2,NaN
1,NaN,0,NaN,NaN,2,NaN
1,NaN,0,0,450,2,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,0,0,450,1,2
1,2053.8,0,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,363.65,1,0,-150,1,2
1,525.29,1,1,450,2,2
1,NaN,1,NaN,NaN,NaN,1
1,513.82,1,1,150,2,2
1,450.01,1,1,450,1,1
1,NaN,1,NaN,NaN,NaN,2
1,371.72,1,1,150,1,1
1,504.56,1,NaN,NaN,2,NaN
1,541.25,1,0,-150,2,1
1,583.16,1,0,450,2,1
1,827.37,1,1,450,1,1
1,433.07,1,0,450,2,1
1,445.48,1,1,150,2,2
1,360.46,1,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,1
1,427.73,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,NaN
1,435.93,1,1,-600,2,2
1,NaN,0,1,450,2,2
1,648.63,1,0,450,1,2
1,NaN,0,0,-150,2,1
1,592.89,1,0,-600,2,1
1,NaN,0,NaN,NaN,2,NaN
1,446.37,1,0,-600,1,2
1,739.14,1,0,150,2,1
1,NaN,1,NaN,NaN,NaN,2
1,1329.5,1,1,450,1,1
1,NaN,0,0,150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,525.6,1,0,-150,1,2
1,NaN,0,NaN,NaN,1,NaN
1,921.7,1,1,-150,2,2
1,503.06,1,0,450,1,2
1,NaN,0,NaN,NaN,1,NaN
1,328.79,1,1,-150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,492.7,1,1,150,1,1
1,586.86,1,NaN,NaN,2,NaN
1,770.19,1,1,450,2,2
1,561.62,1,1,-600,2,2
1,NaN,0,1,-150,1,1
1,NaN,1,NaN,NaN,NaN,NaN
1,609.23,1,0,-600,2,1
1,NaN,1,NaN,NaN,NaN,NaN
1,NaN,1,NaN,NaN,NaN,1
1,395.51,1,1,150,2,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,2
1,618.25,1,0,150,1,2
1,NaN,1,NaN,NaN,NaN,1
1,NaN,0,NaN,NaN,2,NaN
1,600.93,0,NaN,NaN,NaN,1
1,NaN,1,NaN,NaN,NaN,NaN
1,372.59,1,NaN,NaN,1,NaN
1,NaN,1,NaN,NaN,NaN,2
1,388.65,1,1,-600,1,1
1,454.79,1,0,-150,1,2
1,NaN,1,NaN,NaN,NaN,2
1,NaN,1,NaN,NaN,NaN,2
1,445.19,1,1,-600,1,1
1,441.76,1,0,-600,1,2
1,439.8,1,0,150,2,1
1,563.38,1,0,-600,2,1
1,450.04,1,1,450,2,2
1,374.9,1,0,-150,1,2
1,473.24,1,NaN,NaN,1,NaN
1,416.96,1,1,150,2,2
1,482.53,1,1,-600,2,2
1,582.06,1,1,-600,1,1
